	Fecha,Hora,Memoria total (kB),Memoria usada (kB),Memoria libre (kB),Memoria compartida (kB),Buffer (kB),Caché (kB),Memoria disponible (kB)
	2024-06-11,13:30:55,2006020,996648,101240,27496,908132,822080,
	2024-06-11,13:31:00,2006020,996404,101240,27496,908376,822404,
	2024-06-11,13:31:05,2006020,996344,101240,27496,908436,822464,
	2024-06-11,13:31:10,2006020,996276,101240,27496,908504,822532,
	2024-06-11,13:31:15,2006020,996388,100988,27568,908644,822332,
	2024-06-11,13:31:20,2006020,995980,100988,27900,909052,822420,
	2024-06-11,13:31:25,2006020,996284,100988,27572,908748,822444,
	2024-06-11,13:31:30,2006020,996252,100988,27496,908780,822552,
	2024-06-11,13:31:35,2006020,996188,100988,27496,908844,822616,
	2024-06-11,13:31:40,2006020,996128,100988,27496,908904,822676,
	2024-06-11,13:31:45,2006020,996056,100988,27496,908976,822748,
	2024-06-11,13:31:50,2006020,995976,100988,27496,909056,822828,
	2024-06-11,13:31:55,2006020,995912,100988,27496,909120,822892,
	2024-06-11,13:32:00,2006020,995740,100988,27560,909292,822996,
	2024-06-11,13:32:05,2006020,995740,100988,27496,909292,823060,
	2024-06-11,13:32:10,2006020,995676,100988,27496,909356,823124,
	2024-06-11,13:32:15,2006020,995580,100988,27496,909452,823220,
	2024-06-11,13:32:20,2006020,995800,100736,27496,909484,823000,
	2024-06-11,13:32:25,2006020,994976,100484,27496,910560,823824,
	2024-06-11,13:32:30,2006020,994912,100484,27496,910624,823888,
	2024-06-11,13:32:35,2006020,994844,100484,27496,910692,823956,
	2024-06-11,13:32:40,2006020,995028,100232,27496,910760,823772,
	2024-06-11,13:32:45,2006020,994960,100232,27496,910828,823816,
	2024-06-11,13:32:50,2006020,995104,99984,27496,910932,823692,
	2024-06-11,13:32:55,2006020,995072,99984,27496,910964,823724,
	2024-06-11,13:33:00,2006020,995260,99732,27496,911028,823536,
	2024-06-11,13:33:05,2006020,995196,99732,27496,911092,823600,
	2024-06-11,13:33:10,2006020,995380,99484,27496,911156,823416,
	2024-06-11,13:33:15,2006020,995308,99484,27496,911228,823484,
	2024-06-11,13:33:20,2006020,995460,99232,27496,911328,823332,
	2024-06-11,13:33:25,2006020,995684,98980,27496,911356,823108,
	2024-06-11,13:33:30,2006020,995620,98980,27496,911420,823172,
	2024-06-11,13:33:35,2006020,995808,98728,27496,911484,822984,
	2024-06-11,13:33:40,2006020,995744,98728,27496,911548,823048,
	2024-06-11,13:33:45,2006020,995636,98728,27496,911656,823148,
	2024-06-11,13:33:50,2006020,995608,98728,27496,911684,823152,
	2024-06-11,13:33:55,2006020,995544,98728,27496,911748,823248,
	2024-06-11,13:34:00,2006020,995472,98728,27496,911820,823316,
	2024-06-11,13:34:05,2006020,995908,98228,27496,911884,822880,
	2024-06-11,13:34:10,2006020,996080,97976,27496,911964,822700,
	2024-06-11,13:34:15,2006020,995708,97976,27496,912336,823048,
	2024-06-11,13:34:20,2006020,995896,97724,27496,912400,822912,
	2024-06-11,13:34:25,2006020,996084,97472,27496,912464,822724,
	2024-06-11,13:34:30,2006020,996020,97472,27496,912528,822788,
	2024-06-11,13:34:36,2006020,996208,97220,27496,912592,822600,
	2024-06-11,13:34:41,2006020,996396,96968,27496,912656,822412,
	2024-06-11,13:34:46,2006020,969620,123680,27496,912720,849188,
	2024-06-11,13:34:51,2006020,969808,123428,27496,912784,849000,
	2024-06-11,13:34:56,2006020,969744,123428,27496,912848,849064,
	2024-06-11,13:35:01,2006020,969900,123176,27496,912944,848908,
	2024-06-11,13:35:06,2006020,969868,123176,27496,912976,848924,
	2024-06-11,13:35:11,2006020,971284,121664,27496,913072,847524,
	2024-06-11,13:35:16,2006020,971440,121412,27496,913168,847368,
	2024-06-11,13:35:21,2006020,972104,120656,27496,913260,846704,
	2024-06-11,13:35:26,2006020,972040,120656,27496,913324,846768,
	2024-06-11,13:35:31,2006020,972228,120404,27496,913388,846580,
	2024-06-11,13:35:36,2006020,972668,119900,27496,913452,846140,
	2024-06-11,13:35:41,2006020,976592,115664,27544,913764,842160,
	2024-06-11,13:35:46,2006020,987028,105080,27572,913912,831696,
	2024-06-11,13:35:51,2006020,1082480,88948,27684,834592,736072,
	2024-06-11,13:35:56,2006020,1081528,86140,27652,838352,736936,
	2024-06-11,13:36:01,2006020,1081464,85916,27704,838640,736936,
	2024-06-11,13:36:06,2006020,1078540,88688,27704,838792,739860,
	2024-06-11,13:36:11,2006020,1078552,88688,27704,838780,739848,
	2024-06-11,13:36:16,2006020,1078892,88240,27704,838888,739500,
	2024-06-11,13:36:21,2006020,1079444,87488,27684,839088,738956,
	2024-06-11,13:36:26,2006020,1079376,87488,27684,839156,739024,
	2024-06-11,13:36:31,2006020,1079488,87264,27684,839268,738908,
	2024-06-11,13:36:36,2006020,1079424,87264,27684,839332,738972,
	2024-06-11,13:36:41,2006020,1089808,122816,27796,793396,728440,
	2024-06-11,13:36:46,2006020,1096176,114296,46660,795548,702912,
	2024-06-11,13:36:51,2006020,1214356,121960,42116,669704,589644,
	2024-06-11,13:36:56,2006020,1360028,132256,43616,513736,443556,
	2024-06-11,13:37:01,2006020,1420016,88984,43728,497020,383284,
	2024-06-11,13:37:06,2006020,1358700,146236,43740,501084,444588,
	2024-06-11,13:37:11,2006020,1349076,146052,43740,510892,454124,
	2024-06-11,13:37:16,2006020,1337500,152100,43740,516420,465788,
	2024-06-11,13:37:21,2006020,1337316,151848,43740,516856,465916,
	2024-06-11,13:37:26,2006020,1337036,151624,43740,517360,466240,
